Time,Theta_deg,Theta_dot,Sin_theta,Cos_theta,Control
0.29,2.79289510499417,-0.010068204253912,0.0487259142100811,0.998812198638916,-0.0111699456321571
0.3,2.57125749816619,-0.00906824693083763,0.0448618456721306,0.998993158340454,-0.00423396024422889
0.31,2.36078871270973,-0.00726708583533764,0.0411918796598911,0.999151289463043,0.0372170459829518
0.32,2.1539547559011,-0.00963608454912901,0.0375847481191158,0.999293446540833,-0.094211410704881
0.33,1.95905923758355,-0.0099377129226923,0.0341853722929955,0.999415516853333,0.0701186994339421
0.34,1.77324603711819,-0.011103343218565,0.0309440400451422,0.99952107667923,-0.0245105348808404
0.35,1.59445668521568,-0.0135714812204242,0.0278249271214008,0.999612808227539,-0.0654068665209358
0.36,1.427542703195,-0.0134848216548562,0.0249127428978682,0.999689638614655,0.0804382268096519
0.37,1.27071743358992,-0.0134136928245425,0.0221763849258423,0.999754071235657,-0.0164821240582774
0.38,1.11998551828502,-0.0145566174760461,0.019546190276742,0.999808967113495,-0.0113669679232428
0.39,0.977077076694038,-0.0151608362793922,0.017052385956049,0.999854624271393,-0.0558885302210378
0.4,0.840148625722031,-0.0159280244261026,0.014662834815681,0.99989253282547,-0.0463044877282064
0.41,0.709597435946574,-0.0163566265255213,0.012384494766593,0.999923288822174,-0.06962381815062
0.42,0.585363653052519,-0.0163030903786421,0.0102163450792432,0.999947786331177,-0.0518193674582833
0.43,0.467090581081804,-0.0167054869234562,0.00815217848867178,0.99996680021286,0.0382331814246004
0.44,0.357580184408456,-0.0163120813667774,0.00624091131612659,0.999980568885803,-0.00073852199161142
0.45,0.252561870155372,-0.0168812237679958,0.00440802192315459,0.999990284442902,-0.0432021191600827
0.46,0.152399692864554,-0.0176856406033039,0.00265987333841622,0.999996483325958,-0.0330622651528756
0.47,0.0584287274596401,-0.0176007002592087,0.00101977353915572,0.999999523162842,-0.0205134939848278
0.48,-0.0321903437519531,-0.0181276518851519,-0.000561827444471419,0.999999821186066,-0.0224691714274146
0.49,-0.118119022706822,-0.0186147261410952,-0.00206156447529793,0.999997913837433,-0.0131444766748556
0.5,-0.200238510079569,-0.0193756613880396,-0.00349481427110732,0.999993920326233,0
0.51,-0.278086434028422,-0.0201475955545902,-0.00485350470989943,0.999988198280334,0
0.52,-0.352534368810864,-0.0211601909250021,-0.00615284685045481,0.999981105327606,0
0.53,-0.423536434260905,-0.0221536755561829,-0.00739203812554479,0.999972701072693,0.339931660232027
0.54,-0.488321472314675,-0.0237870085984468,-0.00852271448820829,0.999963700771332,0.493735093324638
0.55,-0.551427667153376,-0.0283053945749998,-0.00962407980114222,0.99995368719101,-0.398773214064523
0.56,-0.62203195493735,-0.0329474359750748,-0.0108562922105193,0.999941051006317,-0.774227799513671
0.57,-0.694750821219174,-0.0329412631690502,-0.0121253924444318,0.999926507472992,0.200168660516236
0.58,-0.755497880419283,-0.0304622370749712,-0.0131855430081487,0.999913036823273,-0.504116674573293
0.59,-0.814036351856198,-0.0272755268961191,-0.0142071368172765,0.999899089336395,-0.71943651861837
0.6,-0.868056898395314,-0.0208583474159241,-0.0151498708873987,0.999885201454163,-0.164120114603974
0.61,-0.909693666737037,-0.0127688786014915,-0.0158764831721783,0.999873995780945,-0.430861723605342
0.62,-0.94414393098808,-0.00472810212522745,-0.0164776742458344,0.999864220619202,-0.594125024511459
0.63,-0.972092713348353,0.00423681735992432,-0.0169654041528702,0.999856054782867,0.188476440900404
