time,sin_theta,cos_theta,theta_dot,x,x_dot,u,sin_theta_next,cos_theta_next,theta_dot_next,x_next,x_dot_next
0.69,0.0145651376437971,0.999893922756518,0.0490960260094867,-1.85277697693428,-7.93461204917044,0.0169168981136785,0.0150511338996487,0.999886725268585,0.0483415467634444,-1.93260227063406,-8.00718721719865
0.7,0.0150511338996487,0.999886725268585,0.0483415467634444,-1.93260227063406,-8.00718721719865,0.0230046889703003,0.0155296016041139,0.999879408465849,0.0475749135639945,-2.01309682335183,-8.07252061833339
0.71,0.0155296016041139,0.999879408465849,0.0475749135639945,-2.01309682335183,-8.07252061833339,0.0289505893332571,0.0160001073763942,0.999871990088703,0.0467727276551353,-2.09422010072929,-8.13326163050999
0.72,0.0160001073763942,0.999871990088703,0.0467727276551353,-2.09422010072929,-8.13326163050999,0.0347610050744878,0.0164624760371976,0.999864484259104,0.0459768332653488,-2.17591440562285,-8.18694494800308
0.73,0.0164624760371976,0.999864484259104,0.0459768332653488,-2.17591440562285,-8.18694494800308,0.0404373450577611,0.016916491095833,0.999856905926545,0.045114287007067,-2.25813009009058,-8.23870035878641
0.74,0.016916491095833,0.999856905926545,0.045114287007067,-2.25813009009058,-8.23870035878641,0.0459741089852082,0.0173619497620282,0.999849269990462,0.0442652421255672,-2.34081987150675,-8.28384913489124
0.75,0.0173619497620282,0.999849269990462,0.0442652421255672,-2.34081987150675,-8.28384913489124,0.0513718841931304,0.0177987080594308,0.999841590448914,0.0433895646863344,-2.42393644185417,-8.32506529589573
0.76,0.0177987080594308,0.999841590448914,0.0433895646863344,-2.42393644185417,-8.32506529589573,0.0566351605959663,0.01822668868927,0.999833880111803,0.0425088119213228,-2.50743264768716,-8.36154110266257
0.77,0.01822668868927,0.999833880111803,0.0425088119213228,-2.50743264768716,-8.36154110266257,0.0617664735508704,0.0186457044611303,0.999826153741313,0.0416031387739324,-2.59126803147847,-8.39420827112801
0.78,0.0186457044611303,0.999826153741313,0.0416031387739324,-2.59126803147847,-8.39420827112801,0.0667648465046699,0.019055734581761,0.999818423004672,0.0406868383564181,-2.67539775357739,-8.42268802802196
0.79,0.019055734581761,0.999818423004672,0.0406868383564181,-2.67539775357739,-8.42268802802196,0.0716306552641227,0.0194567085624919,0.999810700328774,0.0397999853004641,-2.7597812140641,-8.44610903513179
0.8,0.0194567085624919,0.999810700328774,0.0397999853004641,-2.7597812140641,-8.44610903513179,0.0763671379911505,0.019848481517344,0.999802999486126,0.0388595839293681,-2.84438042343822,-8.4667231895594
0.81,0.019848481517344,0.999802999486126,0.0388595839293681,-2.84438042343822,-8.4667231895594,0.0809739871695683,0.0202311547337155,0.999795329244011,0.0379851058134693,-2.92915355572999,-8.4821968020004
0.82,0.0202311547337155,0.999795329244011,0.0379851058134693,-2.92915355572999,-8.4821968020004,0.0854552575957619,0.0206047533824597,0.99978769953328,0.0370503663720834,-3.01406301144816,-8.49499372332593
0.83,0.0206047533824597,0.99978769953328,0.0370503663720834,-3.01406301144816,-8.49499372332593,0.0898117444858946,0.0209691996201318,0.999780122160513,0.0361540498847104,-3.0990735930947,-8.50370554178213
0.84,0.0209691996201318,0.999780122160513,0.0361540498847104,-3.0990735930947,-8.50370554178213,0.0940445237022201,0.0213245705167616,0.999772605492007,0.0352495315689683,-3.18414942364438,-8.50909878715588
0.85,0.0213245705167616,0.999772605492007,0.0352495315689683,-3.18414942364438,-8.50909878715588,0.0981563504992336,0.0216709804833035,0.999765156726764,0.0343468563376642,-3.26925656859878,-8.51116897891119
0.86,0.0216709804833035,0.999765156726764,0.0343468563376642,-3.26925656859878,-8.51116897891119,0.10214973698973,0.02200838538129,0.99975778615268,0.0334273020605636,-3.35436256199305,-8.50989971768387
0.87,0.02200838538129,0.99975778615268,0.0334273020605636,-3.35436256199305,-8.50989971768387,0.106025600118814,0.0223368094225775,0.99975050234787,0.0325358609805213,-3.43943517688401,-8.50545972172027
0.88,0.0223368094225775,0.99975050234787,0.0325358609805213,-3.43943517688401,-8.50545972172027,0.10978482166385,0.0226563261015852,0.999743312499553,0.0316781544086991,-3.5244432328863,-8.49821913863938
0.89,0.0226563261015852,0.999743312499553,0.0316781544086991,-3.5244432328863,-8.49821913863938,0.113430211850887,0.0229671216071204,0.999736220872828,0.0307863886288942,-3.60935794334419,-8.48767955195682
0.9,0.0229671216071204,0.999736220872828,0.0307863886288942,-3.60935794334419,-8.48767955195682,0.116963849997397,0.0232691637636467,0.999729236352394,0.0299231822853269,-3.69414928148235,-8.47450680163541
0.91,0.0232691637636467,0.999729236352394,0.0299231822853269,-3.69414928148235,-8.47450680163541,0.120387473205724,0.0235626053949868,0.999722363272424,0.0290636794345474,-3.77879022953673,-8.45850394893663
0.92,0.0235626053949868,0.999722363272424,0.0290636794345474,-3.77879022953673,-8.45850394893663,0.123702929068913,0.0238474965055311,0.999715608015809,0.0282256918237503,-3.86325294225648,-8.44010893692857
0.93,0.0238474965055311,0.999715608015809,0.0282256918237503,-3.86325294225648,-8.44010893692857,0.126911886832477,0.0241240229202364,0.999708973410834,0.0273791543953224,-3.94751348070258,-8.41873668849596
0.94,0.0241240229202364,0.999708973410834,0.0273791543953224,-3.94751348070258,-8.41873668849596,0.13001741918051,0.0243922591026419,0.999702464584273,0.0265558739015753,-4.03154638122393,-8.39521885681004
0.95,0.0243922591026419,0.999702464584273,0.0265558739015753,-4.03154638122393,-8.39521885681004,0.133020592673709,0.0246522996775984,0.999696085878406,0.0257366199405989,-4.11532711469089,-8.3690934473674
0.96,0.0246522996775984,0.999696085878406,0.0257366199405989,-4.11532711469089,-8.3690934473674,0.135923861418703,0.0249043369559735,0.999689838900438,0.024916269744418,-4.19883540958882,-8.34022698485191
0.97,0.0249043369559735,0.999689838900438,0.024916269744418,-4.19883540958882,-8.34022698485191,0.138729039027524,0.0251482919154367,0.999683731694047,0.0241456567900938,-4.28204168411733,-8.31051941117142
0.98,0.0251482919154367,0.999683731694047,0.0241456567900938,-4.28204168411733,-8.31051941117142,0.141436787203757,0.0253844492288299,0.999677762950316,0.0233402065385554,-4.36493041550362,-8.27681159245821
0.99,0.0253844492288299,0.999677762950316,0.0233402065385554,-4.36493041550362,-8.27681159245821,0.144049893651158,0.0256129147398413,0.999671935486102,0.022622510672983,-4.4474805841416,-8.24441745219147
1,0.0256129147398413,0.999671935486102,0.022622510672983,-4.4474805841416,-8.24441745219147,0.146571039943852,0.0258336811878537,0.999666254765201,0.0218508780290531,-4.52966581704439,-8.20703447229424
1.01,0.0258336811878537,0.999666254765201,0.0218508780290531,-4.52966581704439,-8.20703447229424,0.148999758264873,0.0260470492460452,0.999660718056668,0.0211098654144037,-4.61147537449898,-8.16864219304086
1.02,0.0260470492460452,0.999660718056668,0.0211098654144037,-4.61147537449898,-8.16864219304086,0.151340250760262,0.0262531829075913,0.999655325793456,0.0202933559817937,-4.69289368221006,-8.12345465336039
1.03,0.0262531829075913,0.999655325793456,0.0202933559817937,-4.69289368221006,-8.12345465336039,0.153595062217798,-0.0015041296995606,0.999998868796284,-4.6514581278135,-4.71740175301631,-5.15413053670771
1.04,-0.0015041296995606,0.999998868796284,-4.6514581278135,-4.71740175301631,-5.15413053670771,-63.6178769706397,-0.0216065393401052,0.999766551479766,0.332557254134618,-5.41346659954534,-117.510325442227
1.05,-0.0216065393401052,0.999766551479766,0.332557254134618,-5.41346659954534,-117.510325442227,-67.7389835083291,0.0137077796909814,0.999906043974104,4.54746802792444,-7.24299059291774,-203.748118135345
1.06,0.0137077796909814,0.999906043974104,4.54746802792444,-7.24299059291774,-203.748118135345,17.5321104597991,0.0505538838543048,0.998721334921431,2.72480016903835,-9.10494407182641,-166.532904038037
1.07,0.0505538838543048,0.998721334921431,2.72480016903835,-9.10494407182641,-166.532904038037,40.3109173402403,0.0581253455478919,0.998309292857147,0.00756355510605519,-10.3670519037573,-110.772886317832
1.08,0.0581253455478919,0.998309292857147,0.00756355510605519,-10.3670519037573,-110.772886317832,-3.55343204246355,0.0602230503017775,0.998184944893655,0.699296365660238,-11.5139373360244,-124.552176995188
1.09,0.0602230503017775,0.998184944893655,0.699296365660238,-11.5139373360244,-124.552176995188,-24.9840776769381,0.0795236771824788,0.996832977367511,2.46181945006645,-13.0091637571561,-160.139394580656
1.1,0.0795236771824788,0.996832977367511,2.46181945006645,-13.0091637571561,-160.139394580656,-2.32116619563406,0.10568097615472,0.994400086121771,2.48692134576349,-14.64017283578,-160.007668201971
1.11,0.10568097615472,0.994400086121771,2.48692134576349,-14.64017283578,-160.007668201971,15.6098359500467,0.123140955940281,0.992389190272704,1.42890150439573,-16.0848625720084,-137.447998878403
1.12,0.123140955940281,0.992389190272704,1.42890150439573,-16.0848625720084,-137.447998878403,7.25626407586475,0.134136873138357,0.990962814269367,1.08975257570668,-17.386712340451,-129.406949315
1.13,0.134136873138357,0.990962814269367,1.08975257570668,-17.386712340451,-129.406949315,-4.47127617206544,0.147634693996955,0.989041959235515,1.52036785829999,-18.7300847041875,-137.209307923807
1.14,0.147634693996955,0.989041959235515,1.52036785829999,-18.7300847041875,-137.209307923807,-1.89882756338344,0.164407054502592,0.986392579265366,1.70800433527281,-20.1296293152708,-139.770889070212
